year,player,team,affiliation,round,round_pick,overall_pick,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan,player_id
2002,Steve Logan,Golden State Warriors,Cincinnati,2,1,29,G,11.11,3.04,3.22,30.1,36.1,11,6.39,8.46,9.1,70.0,76.12,92.5,207.0,71.75,
2006,Steve Novak,Houston Rockets,Marquette,2,2,32,F,11.11,3.1,3.37,24.5,31.0,5,8.10,8.95,9.59,80.0,81.25,103.0,216.0,81.5,novakst01
2013,Steven Adams,Oklahoma City Thunder,Pittsburgh,1,12,12,C,11.85,3.02,3.40,28.5,33.0,16,6.65,9.50,11.00,82.75,84.0,109.5,254.5,88.5,adamsst01
2001,Steven Hunter,Orlando Magic,DePaul,1,15,15,C,11.99,3.1,3.15,30.5,38.5,11,5.30,9.12,9.86,82.25,83.73,108.0,224.0,88.0,huntest01
2000,Stromile Swift,Vancouver Grizzlies,Louisiana State,1,2,2,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,swiftst01
2007,Sun Sun,Los Angeles Lakers,Beijing Olympians (China),2,10,40,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2018,Svi Mykhailiuk,Los Angeles Lakers,Kansas,2,17,47,G,12.40,3.25,3.53,27.0,33.0,8,11.40,8.00,9.25,78.5,79.5,100.0,219.6,77.0,
2003,Szymon Szewczyk,Milwaukee Bucks,Basketball Lowen Braunschweig (Germany),2,6,35,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2003,T.J. Ford,Milwaukee Bucks,Texas,1,8,8,G,11.45,3.04,3.20,32.5,39.5,0,6.70,8.46,9.1,71.0,76.12,93.5,162.0,71.5,fordtj01
2014,T.J. Warren,Phoenix Suns,North Carolina State,1,14,14,F,11.10,3.04,3.26,27.0,35.5,11.36,7.95,8.75,9.00,79.0,80.25,104.0,220.2,82.25,warretj01
2017,TJ Leaf,Indiana Pacers,California-Los Angeles,1,18,18,F,11.55,3.27,3.27,29.0,34.5,6,6.80,8.50,9.50,80.75,81.75,107.0,222.2,83.0,
2008,Tadija Dragicevic,Utah Jazz,KK Crvena zvezda (Serbia),2,23,53,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2009,Taj Gibson,Chicago Bulls,Southern California,1,26,26,F,11.56,3.1,3.41,25.5,30.0,12,6.60,8.95,9.59,80.5,81.75,109.0,214.4,88.0,gibsota01
2019,Talen Horton-Tucker,Orlando Magic,Iowa State,2,16,46,G,11.34,3.43,3.34,26.0,34.5,10,8.40,9.50,9.75,74.5,76.0,103.0,235.4,85.25,
2002,Tamar Slay,New Jersey Nets,Marshall,2,25,53,F,10.94,3.1,3.09,32.5,38.0,11,7.79,8.95,9.59,78.75,80.81,104.0,203.0,83.5,slayta01
2011,Tanguy Ngombo,Dallas Mavericks,Al Rayyan Basketball Team (Qatar),2,27,57,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2007,Taurean Green,Portland Trail Blazers,Florida,2,22,52,G,11.30,3.04,3.26,29.0,32.5,8,4.60,8.46,9.1,71.0,72.75,96.0,173.0,74.25,greenta01
2016,Taurean Prince,Utah Jazz,Baylor,1,12,12,F,10.96,2.80,3.24,34.0,36.0,11.36,6.45,9.00,8.50,78.5,79.75,102.0,220.2,83.5,princta02
2009,Taylor Griffin,Phoenix Suns,Oklahoma,2,18,48,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,griffta01
2002,Tayshaun Prince,Detroit Pistons,Kentucky,1,23,23,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,princta01
2019,Terance Mann,LA Clippers,Florida State,2,18,48,G,11.51,3.14,3.30,32.5,38.5,6,4.00,9.50,9.25,76.75,78.5,101.0,204.6,79.75,
2001,Terence Morris,Atlanta Hawks,Maryland,2,5,33,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,morrite01
2017,Terrance Ferguson,Oklahoma City Thunder,Adelaide 36ers (Australia),1,21,21,G,11.16,3.22,3.32,28.5,38.0,8.78,5.80,8.50,10.00,77.5,79.0,103.0,184.4,80.75,fergute01
2012,Terrence Jones,Houston Rockets,Kentucky,1,18,18,F,11.57,3.1,3.40,29.5,34.5,12,7.70,9.00,10.00,80.25,81.5,107.0,252.0,86.25,joneste01
2012,Terrence Ross,Toronto Raptors,Washington,1,8,8,G,11.78,3.04,3.28,31.0,37.5,2,3.20,8.75,10.25,78.0,79.0,100.5,196.6,79.25,rosste01
2009,Terrence Williams,New Jersey Nets,Louisville,1,11,11,G,11.15,3.04,3.18,30.5,37.0,9,5.10,8.46,9.1,77.0,78.25,103.5,213.2,81.0,willite01
2010,Terrico White,Detroit Pistons,Mississippi,2,6,36,G,11.38,3.04,3.15,31.0,40.0,10,3.70,9.00,10.50,75.75,77.0,101.0,202.6,81.0,
2015,Terry Rozier,Boston Celtics,Louisville,1,16,16,G,10.84,2.84,3.15,33.0,38.0,7,5.60,8.25,8.50,72.5,74.25,98.5,190.2,80.25,roziete01
2006,Thabo Sefolosha,Philadelphia 76ers,Pallacanestro Biella (Italy),1,13,13,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,sefolth01
2007,Thaddeus Young,Philadelphia 76ers,Georgia Tech,1,12,12,F,11.06,3.1,3.19,34.5,37.0,13,4.90,8.95,9.59,77.75,79.5,106.0,210.0,83.5,youngth01
2014,Thanasis Antetokounmpo,New York Knicks,Delaware 87ers (D-League),2,21,51,F,11.39,3.05,3.18,31.5,39.5,11.36,6.05,9.00,9.75,77.25,78.25,104.5,205.2,84.0,antetth01
2017,Thomas Bryant,Utah Jazz,Indiana,2,12,42,F,11.42,3.12,3.37,25.5,33.0,7,9.40,9.50,10.25,81.5,82.75,112.5,247.8,90.0,bryanth01
2012,Thomas Robinson,Sacramento Kings,Kansas,1,5,5,F,11.96,3.1,3.17,28.5,35.5,15,5.00,9.75,10.50,79.75,80.75,106.0,244.2,87.25,robinth01
2018,Thomas Welsh,Denver Nuggets,California-Los Angeles,2,28,58,F,11.46,3.1,3.3,29.41,34.23,11,10.90,9.00,10.50,83.5,84.5,109.5,254.0,84.0,welshth01
2016,Thon Maker,Milwaukee Bucks,,1,10,10,F,11.15,3.09,3.33,32.0,36.5,11.36,6.05,8.75,9.50,83.75,84.75,110.5,216.0,87.0,makerth01
2007,Tiago Splitter,San Antonio Spurs,Saski Baskonia (Spain),1,28,28,C,11.65,3.1,3.38,26.0,31.5,8,5.30,9.12,9.86,82.25,83.75,109.5,233.0,86.0,splitti01
2010,Tibor Pleiss,New Jersey Nets,Brose Baskets (Germany),2,1,31,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2013,Tim Hardaway Jr.,New York Knicks,Michigan,1,24,24,G,10.68,2.93,3.25,31.5,37.5,16,6.05,8.00,9.25,76.5,78.25,101.0,199.4,79.0,hardati02
2004,Tim Pickett,New Orleans Hornets,Florida State,2,15,44,G,11.11,3.04,3.22,30.1,36.1,8.78,6.00,8.46,9.1,75.0,76.25,100.5,207.0,79.5,
2016,Timothe Luwawu-Cabarrot,Philadelphia 76ers,KK Mega Vizura,1,24,24,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2010,Tiny Gallon,Milwaukee Bucks,Oklahoma,2,17,47,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2002,Tito Maddox,Houston Rockets,Fresno State,2,9,37,G,12.20,3.04,3.24,27.0,32.5,0,6.39,8.46,9.1,75.0,76.12,99.0,200.0,77.0,maddoti01
2011,Tobias Harris,Charlotte Bobcats,Tennessee,1,19,19,F,10.96,3.1,3.17,31.5,37.5,12,8.40,8.75,9.00,78.5,79.75,103.5,222.8,83.0,harrito02
2012,Tomas Satoransky,Washington Wizards,CB Sevilla (Spain),2,2,32,G,11.11,3.04,3.22,30.1,36.1,8.78,5.20,8.50,9.50,78.5,79.5,100.0,200.6,79.25,
2012,Tomislav Zubcic,Toronto Raptors,KK Cibona (Croatia),2,26,56,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2003,Tommy Smith,Chicago Bulls,Arizona State,2,24,53,F,11.54,3.1,3.14,30.0,33.0,2,6.70,8.95,9.59,81.0,80.81,107.5,200.0,86.5,
2009,Toney Douglas,Los Angeles Lakers,Florida State,1,29,29,G,10.63,3.04,3.03,28.0,32.5,15,5.20,8.46,9.1,73.0,74.0,97.5,183.4,78.0,douglto01
2004,Tony Allen,Boston Celtics,Oklahoma State,1,25,25,G,10.70,3.04,3.19,31.5,36.5,17,6.70,8.46,9.1,75.5,76.25,102.0,214.0,81.0,allento01
2017,Tony Bradley,Los Angeles Lakers,North Carolina,1,28,28,C,11.79,2.99,3.44,24.5,27.5,5,12.00,9.50,9.50,81.25,82.75,112.5,248.8,89.0,bradlto01
2018,Tony Carr,New Orleans Pelicans,Penn State,2,21,51,G,11.89,3.40,3.17,25.0,31.5,0,6.50,8.50,9.75,75.0,76.5,100.0,198.8,80.25,
2013,Tony Mitchell,Detroit Pistons,North Texas,2,7,37,F,11.82,3.25,3.52,33.5,38.0,13,5.55,9.00,10.00,79.5,80.75,106.5,236.4,86.5,mitchto02
2001,Tony Parker,San Antonio Spurs,Paris Basket Racing (France),1,28,28,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,parketo01
2013,Tony Snell,Chicago Bulls,New Mexico,1,20,20,F,11.36,2.84,3.25,30.0,36.5,7,4.85,9.00,9.50,78.0,79.25,105.5,198.2,83.5,snellto01
2012,Tony Wroten,Memphis Grizzlies,Washington,1,25,25,G,10.75,3.04,3.24,30.0,35.5,0,5.20,8.00,9.00,76.75,78.0,101.0,203.2,81.0,wroteto01
2012,Tornike Shengelia,Philadelphia 76ers,Georgia,2,24,54,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,shengto01
2018,Trae Young,Dallas Mavericks,Oklahoma,1,5,5,G,11.11,3.04,3.22,30.1,36.1,8.78,5.35,8.00,9.25,72.5,73.75,95.5,177.8,75.0,youngtr01
2005,Travis Diener,Orlando Magic,Marquette,2,8,38,G,10.85,3.04,3.26,24.5,31.0,1,6.39,8.46,9.1,71.75,73.0,93.5,165.2,71.75,dienetr01
2003,Travis Hansen,Atlanta Hawks,Brigham Young,2,8,37,G,10.72,3.04,3.18,31.5,35.0,16,6.00,8.46,9.1,76.5,76.12,100.5,200.0,78.5,hansetr01
2011,Travis Leslie,Los Angeles Clippers,Georgia,2,17,47,G,11.00,3.04,3.13,33.0,40.5,10,8.10,8.75,9.25,75.0,76.25,103.0,205.0,82.5,leslitr01
2003,Travis Outlaw,Portland Trail Blazers,Starkville,1,23,23,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,outlatr01
2019,Tremont Waters,Boston Celtics,Louisiana State,2,21,51,G,10.76,3.11,3.07,30.5,40.5,5,6.60,8.00,9.75,69.5,70.75,93.5,172.4,74.25,
2008,Trent Plaisted,Oklahoma City Thunder,Brigham Young,2,16,46,F,11.32,3.1,3.17,30.5,35.5,14,11.00,8.95,9.59,81.25,82.25,105.5,240.0,82.5,
2001,Trenton Hassell,Chicago Bulls,Austin Peay,2,1,29,G,11.57,3.04,3.29,35.5,37.5,12,5.30,8.46,9.1,76.25,76.12,99.5,205.0,80.0,hassetr01
2004,Trevor Ariza,New York Knicks,California-Los Angeles,2,14,43,G,11.63,3.04,3.29,29.5,32.0,8,8.00,8.46,9.1,79.0,80.25,107.5,201.0,86.0,arizatr01
2010,Trevor Booker,Minnesota Timberwolves,Clemson,1,23,23,F,11.15,3.1,3.10,31.0,36.0,22,7.30,9.00,9.50,78.25,79.5,106.0,235.8,81.75,booketr01
2013,Trey Burke,Minnesota Timberwolves,Michigan,1,9,9,G,11.20,3.01,3.16,29.5,36.5,3,6.90,8.25,8.75,71.75,73.25,97.5,187.0,77.5,burketr01
2015,Trey Lyles,Utah Jazz,Kentucky,1,12,12,F,11.46,3.1,3.3,29.41,34.23,11.36,12.10,9.25,10.25,81.0,82.25,108.0,241.2,85.5,lylestr01
2011,Trey Thompkins,Los Angeles Clippers,Georgia,2,7,37,F,11.72,3.1,3.41,27.5,30.5,15,15.50,9.25,9.75,80.5,81.75,107.5,239.0,85.0,thomptr02
2011,Tristan Thompson,Cleveland Cavaliers,Texas,1,4,4,F,10.92,3.1,3.26,30.0,35.0,9,6.20,8.75,9.25,79.5,80.75,108.5,227.4,85.25,thomptr01
2003,Troy Bell,Boston Celtics,Boston College,1,16,16,G,10.89,3.04,3.06,34.5,41.0,17,5.30,8.46,9.1,72.25,76.12,97.5,178.0,77.0,belltr01
2018,Troy Brown Jr.,Washington Wizards,Oregon,1,15,15,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,browntr01
2001,Troy Murphy,Golden State Warriors,Notre Dame,1,14,14,F,11.22,3.1,3.43,28.5,34.5,11,11.70,8.95,9.59,81.75,80.81,105.5,230.0,83.0,murphtr01
2019,Ty Jerome,Philadelphia 76ers,Virginia,1,24,24,G,11.21,3.12,3.40,26.0,31.5,2,6.50,8.25,9.50,76.25,77.5,98.0,194.4,76.0,
2009,Ty Lawson,Minnesota Timberwolves,North Carolina,1,18,18,G,10.98,3.04,3.12,29.0,36.5,14,6.60,8.46,9.1,71.25,72.5,94.5,196.6,72.75,lawsoty01
2017,Tyler Dorsey,Atlanta Hawks,Oregon,2,11,41,G,10.55,2.98,3.16,30.5,36.0,8,4.70,8.50,9.25,75.0,76.5,99.5,182.6,77.25,dorsety01
2014,Tyler Ennis,Phoenix Suns,Syracuse,1,18,18,G,11.12,2.84,3.30,29.0,36.0,8.78,6.20,8.25,8.75,73.0,74.5,98.0,181.5,79.25,ennisty01
2009,Tyler Hansbrough,Indiana Pacers,North Carolina,1,13,13,F,11.12,3.1,3.27,27.5,34.0,18,8.50,8.95,9.59,80.25,81.5,106.0,234.2,83.5,hansbty01
2015,Tyler Harvey,Orlando Magic,Eastern Washington,2,21,51,G,10.56,2.93,3.44,26.0,28.5,1,9.20,7.75,8.75,74.75,76.0,98.5,181.4,77.5,
2019,Tyler Herro,Miami Heat,Kentucky,1,13,13,G,11.11,3.04,3.22,30.1,36.1,8.78,7.10,8.00,8.75,76.5,78.0,100.5,192.4,75.25,
2011,Tyler Honeycutt,Sacramento Kings,California-Los Angeles,2,5,35,F,11.68,3.1,3.07,30.0,37.0,11.36,5.30,8.50,9.50,78.75,80.25,105.0,186.8,81.0,honeyty01
2017,Tyler Lydon,Utah Jazz,Syracuse,1,24,24,F,11.68,2.81,3.46,29.5,33.5,1,13.60,8.75,8.75,80.25,81.5,107.5,215.0,84.0,lydonty01
2016,Tyler Ulis,Phoenix Suns,Kentucky,2,4,34,G,10.80,2.88,3.20,32.5,38.0,8.78,5.20,7.50,7.50,68.75,70.0,88.5,149.2,74.0,ulisty01
2012,Tyler Zeller,Dallas Mavericks,North Carolina,1,17,17,F,11.13,3.1,3.40,30.0,34.0,16,6.40,9.00,9.75,83.25,84.5,104.5,247.4,84.0,zellety01
2009,Tyreke Evans,Sacramento Kings,Memphis,1,4,4,G,11.81,3.04,3.17,28.5,34.0,7,7.10,8.46,9.1,76.0,77.25,104.0,220.6,83.25,evansty01
2016,Tyrone Wallace,Utah Jazz,California,2,30,60,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,wallaty01
2006,Tyrus Thomas,Portland Trail Blazers,Louisiana State,1,4,4,F,11.36,3.1,3.20,34.0,39.5,8,5.60,8.95,9.59,79.25,80.25,108.0,217.0,87.0,thomaty01
2012,Tyshawn Taylor,Portland Trail Blazers,Kansas,2,11,41,G,11.48,3.04,3.20,32.0,36.5,0,4.20,8.75,8.75,74.75,76.0,97.5,177.0,78.25,tayloty01
2001,Tyson Chandler,Los Angeles Clippers,Dominguez,1,2,2,F,12.13,3.1,3.36,31.0,33.5,2,6.70,8.95,9.59,83.5,80.81,110.0,224.0,87.0,chandty01
2015,Tyus Jones,Cleveland Cavaliers,Duke,1,24,24,G,11.84,2.95,3.32,26.5,32.5,2,6.50,8.25,8.75,72.5,74.0,97.0,184.6,77.0,jonesty01
2005,Uros Slokar,Toronto Raptors,Pallalcesto Amatori Udine (Italy),2,28,58,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2019,Vanja Marinkovic,Sacramento Kings,KK Partizan (Serbia),2,30,60,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2014,Vasilije Micic,Philadelphia 76ers,KK Mega Leks (Serbia),2,22,52,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2004,Vassilis Spanoulis,Dallas Mavericks,Maroussi B.C. (Greece),2,21,50,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,spanova01
2011,Vernon Macklin,Detroit Pistons,Florida,2,22,52,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,macklve01
2009,Victor Claver,Portland Trail Blazers,Valencia BC (Spain),1,22,22,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,clavevi01
2013,Victor Oladipo,Orlando Magic,Indiana,1,2,2,G,10.69,3.14,3.25,33.0,42.0,15,6.55,8.75,9.25,75.25,76.25,100.5,213.2,81.25,oladivi01
2004,Viktor Khryapa,New Jersey Nets,PBC CSKA Moscow (Russia),1,22,22,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,khryavi01
2004,Viktor Sanikidze,Atlanta Hawks,JDA Dijon Basket (France),2,13,42,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2018,Vincent Edwards,Utah Jazz,Purdue,2,22,52,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2002,Vincent Yarbrough,Denver Nuggets,Tennessee,2,4,32,F,11.70,3.1,3.32,30.0,34.0,10,7.79,8.95,9.59,77.5,80.81,104.5,202.0,84.5,yarbrvi01
2001,Vladimir Radmanovic,Seattle SuperSonics,KK FMP (Serbia),1,12,12,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2006,Vladimir Veremeenko,Washington Wizards,CB Cornella (Spain),2,18,48,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2017,Vlatko Cancar,Denver Nuggets,KK Mega Leks (Serbia),2,19,49,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2005,Von Wafer,Los Angeles Lakers,Florida State,2,9,39,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,wafervo01
2016,Wade Baldwin IV,Memphis Grizzlies,Vanderbilt,1,17,17,G,10.45,3.01,3.19,32.5,38.0,8.78,5.20,9.00,9.75,74.5,76.0,100.0,201.8,83.25,
2008,Walter Sharpe,Oklahoma City Thunder,Alabama-Birmingham,2,2,32,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,sharpwa01
2016,Wang Zhelin,Memphis Grizzlies,Fujian,2,27,57,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2009,Wayne Ellington,Minnesota Timberwolves,North Carolina,1,28,28,G,11.14,3.04,3.20,31.5,38.0,13,5.50,8.46,9.1,76.25,77.25,100.0,202.4,78.5,ellinwa01
2005,Wayne Simien,Miami Heat,Kansas,1,29,29,F,11.05,3.1,3.35,27.0,27.5,11,7.79,8.95,9.59,79.25,81.0,107.0,255.8,84.0,simiewa01
2018,Wendell Carter Jr.,Chicago Bulls,West Virginia,1,7,7,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,cartewe01
2017,Wes Iwundu,Orlando Magic,Kansas State,2,3,33,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2010,Wesley Johnson,Minnesota Timberwolves,Syracuse,1,4,4,F,11.43,3.1,3.14,32.0,37.0,16,4.60,9.00,9.50,78.25,79.25,106.0,206.4,85.0,johnswe01
2012,Will Barton,Portland Trail Blazers,Memphis,2,10,40,G,12.50,3.04,3.60,30.0,34.0,0,4.10,9.00,9.50,77.0,78.0,102.5,174.4,81.75,bartowi01
2006,Will Blalock,Detroit Pistons,Iowa State,2,30,60,G,11.08,3.04,3.18,35.0,40.0,8,7.20,8.46,9.1,71.25,72.5,96.5,194.0,78.0,blalowi01
2001,Will Solomon,Memphis Grizzlies,Clemson,2,4,32,G,11.30,3.04,3.22,28.5,35.0,4,4.00,8.46,9.1,71.75,76.12,99.5,172.0,81.5,solomwi01
2015,Willie Cauley-Stein,Sacramento Kings,Kentucky,1,6,6,C,11.96,3.1,3.42,27.58,31.48,10.79,6.30,9.50,9.00,83.25,84.5,111.0,242.4,87.0,caulewi01
2003,Willie Green,Seattle SuperSonics,Detroit Mercy,2,12,41,G,11.86,3.04,3.19,28.5,28.5,13,8.00,8.46,9.1,74.5,76.12,100.0,201.0,79.25,greenwi01
2010,Willie Warren,Los Angeles Clippers,Oklahoma,2,24,54,G,11.21,3.04,3.50,23.0,31.5,10,7.60,8.50,9.50,74.5,75.75,99.5,208.4,78.0,warrewi01
2015,Willy Hernangomez,Philadelphia 76ers,CB Sevilla (Spain),2,5,35,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2007,Wilson Chandler,New York Knicks,DePaul,1,23,23,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,chandwi01
2010,Xavier Henry,Memphis Grizzlies,Kansas,1,12,12,G,11.10,3.04,3.18,28.5,36.5,8,4.70,8.75,10.00,77.25,78.5,105.0,210.2,83.25,henryxa01
2014,Xavier Thames,Toronto Raptors,San Diego State,2,29,59,G,11.48,3.02,3.48,29.0,32.5,8.78,6.40,8.25,9.00,74.25,75.5,96.0,187.0,76.0,
2003,Xue Yuyang,Dallas Mavericks,Hong Kong Flying Dragons (China),2,28,57,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2002,Yao Ming,Houston Rockets,Shanghai Sharks (China),1,1,1,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2005,Yaroslav Korolev,Los Angeles Clippers,PBC CSKA Moscow (Russia),1,12,12,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,korolya01
2007,Yi Jianlian,Milwaukee Bucks,Guangdong Southern Tigers (China),1,6,6,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,jianlyi01
2006,Yotam Halperin,Seattle SuperSonics,KK Olimpija (Slovenia),2,23,53,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2017,Zach Collins,Sacramento Kings,Gonzaga,1,10,10,F,11.46,3.1,3.3,29.41,34.23,11.36,8.90,8.75,9.25,82.25,84.0,111.0,232.2,85.0,colliza01
2014,Zach LaVine,Minnesota Timberwolves,California-Los Angeles,1,13,13,G,10.42,2.80,3.19,33.5,41.5,8.78,4.70,8.25,8.75,76.5,77.75,100.0,180.9,80.25,lavinza01
2001,Zach Randolph,Portland Trail Blazers,Michigan State,1,19,19,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,randoza01
2003,Zarko Cabarkapa,Phoenix Suns,KK Buducnost Podgorica (Montenegro),1,17,17,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2003,Zaza Pachulia,Orlando Magic,Ulkerspor (Turkey),2,13,42,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,pachuza01
2018,Zhaire Smith,Phoenix Suns,Texas Tech,1,16,16,F,11.02,3.15,3.05,33.0,41.5,10,6.05,8.75,8.25,74.75,76.0,100.0,198.6,81.75,smithzh01
2016,Zhou Qi,Houston Rockets,Xinjiang Guanghui,2,13,43,F,11.27,2.90,3.46,31.5,32.0,11.36,4.85,9.25,9.50,85.25,86.25,112.5,218.2,91.75,qizh01
2019,Zion Williamson,New Orleans Pelicans,Duke,1,1,1,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2003,Zoran Planinic,New Jersey Nets,KK Cibona (Croatia),1,22,22,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
