year,player,team,affiliation,round,round_pick,overall_pick,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan,player_id
2004,Robert Swift,Seattle SuperSonics,Bakersfield,1,12,12,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,swiftro01
2009,Robert Vaden,Charlotte Bobcats,Alabama-Birmingham,2,24,54,G,11.97,3.04,3.40,26.0,29.5,10,6.20,8.46,9.1,75.5,76.5,101.0,199.0,80.0,
2005,Robert Whaley,Utah Jazz,Walsh,2,21,51,F,12.11,3.1,3.25,28.5,33.5,15,7.79,8.95,9.59,80.0,81.0,108.0,269.4,86.0,whalero01
2018,Robert Williams III,Boston Celtics,Texas A&M,1,27,27,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2001,Robertas Javtokas,San Antonio Spurs,BC Lietuvos rytas (Lithuania),2,27,55,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2008,Robin Lopez,Phoenix Suns,Stanford,1,15,15,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,lopezro01
2002,Rod Grizzard,Washington Wizards,Alabama,2,10,38,F,11.46,3.1,3.3,29.41,34.23,6,7.79,8.95,9.59,78.0,80.81,107.0,193.0,84.0,
2018,Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2,10,40,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,kurucro01
2006,Rodney Carney,Chicago Bulls,Memphis,1,16,16,G,10.57,3.04,3.06,32.0,38.5,10,5.30,8.46,9.1,76.5,77.75,103.5,204.0,82.0,carnero01
2014,Rodney Hood,Utah Jazz,Duke,1,23,23,F,11.21,3.14,3.38,29.0,36.0,11.36,7.45,8.50,8.50,79.25,80.5,103.0,208.2,80.5,hoodro01
2007,Rodney Stuckey,Detroit Pistons,Eastern Washington,1,15,15,G,11.34,3.04,3.11,30.5,35.0,14,6.10,8.46,9.1,75.75,76.5,100.5,207.0,79.25,stuckro01
2001,Rodney White,Detroit Pistons,North Carolina-Charlotte,1,9,9,F,12.07,3.1,3.47,27.5,33.0,16,9.30,8.95,9.59,79.5,80.81,104.5,243.0,83.5,whitero02
2009,Rodrigue Beaubois,Oklahoma City Thunder,Cholet Basket (France),1,25,25,G,10.49,3.04,3.15,29.5,39.0,3,7.90,8.46,9.1,73.25,74.25,100.0,182.4,81.75,beaubro01
