year,player_id,name,games_played,minutes_played,minutes_per_game,box_plus_minus,classification
2000,newmajo01,Johnny Newman,82,1763,21.5,-1.9,Exclude
2000,norrimo01,Moochie Norris,30,502,16.733333333333334,1.7,Role Player
2000,nowitdi01,Dirk Nowitzki,82,2938,35.829268292682926,1.6,All-Star
2000,oaklech01,Charles Oakley,80,2431,30.3875,-2.2,Role Player
2000,odomla01,Lamar Odom,76,2767,36.4078947368421,0.6,Starter
2000,olajuha01,Hakeem Olajuwon,44,1049,23.84090909090909,0.5,Exclude
2000,ollieke01,Kevin Ollie,40,290,7.25,0.6,Role Player
2000,olowomi01,Michael Olowokandi,80,2493,31.1625,-6.0,Bust
2000,onealje01,Jermaine O'Neal,70,859,12.271428571428574,-2.5,Starter
2000,onealsh01,Shaquille O'Neal,79,3163,40.03797468354431,9.3,All-Star
2000,ostergr01,Greg Ostertag,81,1606,19.827160493827158,-0.3,Role Player
2000,outlabo01,Bo Outlaw,82,2326,28.36585365853659,4.5,Starter
2000,overtdo01,Doug Overton,48,432,9.0,-3.5,Exclude
2000,owensbi01,Billy Owens,62,1305,21.048387096774192,-2.6436781609195403,Exclude
2000,packro01,Robert Pack,29,665,22.931034482758623,-1.8,Exclude
2000,padgesc01,Scott Padgett,47,432,9.191489361702127,-4.5,Starter
2000,palacmi01,Milt Palacio,53,394,7.433962264150942,-4.4,Bust
2000,parkean01,Anthony Parker,16,185,11.5625,-2.0,Starter
2000,parksch02,Cherokee Parks,56,808,14.428571428571427,-0.6,Exclude
2000,pattean01,Andrae Patterson,5,20,4.0,-1.9,Exclude
2000,patteru01,Ruben Patterson,81,2097,25.88888888888889,1.9,Starter
2000,paytoga01,Gary Payton,82,3425,41.76829268292683,6.4,All-Star
2000,peelean01,Anthony Peeler,82,2073,25.28048780487805,-0.5,Role Player
2000,perduwi01,Will Perdue,67,1012,15.1044776119403,-5.3,Exclude
2000,perkisa01,Sam Perkins,81,1620,20.0,0.6,Exclude
2000,perryel01,Elliot Perry,60,803,13.383333333333333,-1.8,Exclude
2000,persoch01,Chuck Person,37,340,9.18918918918919,-5.5,Exclude
2000,persowe01,Wesley Person,79,2056,26.025316455696203,0.3,Starter
2000,phillbo01,Bobby Phills,28,825,29.464285714285715,0.2,Exclude
2000,piatker01,Eric Piatkowski,75,1712,22.82666666666667,-1.9,Starter
2000,piercpa01,Paul Pierce,73,2583,35.38356164383561,3.9,All-Star
2000,pippesc01,Scottie Pippen,82,2749,33.52439024390244,3.6,Starter
2000,pollasc01,Scot Pollard,76,1336,17.57894736842105,0.1,Role Player
2000,polynol01,Olden Polynice,82,1819,22.182926829268293,-2.8,Exclude
2000,portete01,Terry Porter,68,1613,23.720588235294123,3.3,Exclude
2000,poseyja01,James Posey,81,2052,25.33333333333333,0.7,Starter
2000,potapvi01,Vitaly Potapenko,79,1797,22.746835443037966,-3.5,Bust
2000,pricebr01,Brent Price,41,424,10.341463414634148,-4.0,Exclude
2000,profila01,Laron Profit,33,225,6.8181818181818175,-5.8,Exclude
2000,radojal01,Aleksandar Radojević,3,24,8.0,-12.1,Exclude
2000,ratlith01,Theo Ratliff,57,1795,31.491228070175442,1.2,Starter
2000,recasel01,Eldridge Recasner,7,28,4.0,-0.8,Exclude
2000,reevebr01,Bryant Reeves,69,1773,25.695652173913047,-4.9,Exclude
2000,reevekh01,Khalid Reeves,3,48,16.0,-5.2,Exclude
2000,reiddo01,Don Reid,38,498,13.105263157894735,-1.7867469879518072,Exclude
2000,reidjr01,J.R. Reid,34,602,17.705882352941178,-3.6000000000000005,Exclude
2000,rhodero01,Rodrick Rhodes,1,8,8.0,-14.9,Exclude
2000,ricegl01,Glen Rice,80,2530,31.625,0.9,Role Player
2000,richmmi01,Mitch Richmond,74,2397,32.39189189189189,1.1,Exclude
2000,rideris01,Isaiah Rider,60,2084,34.73333333333333,-1.4,Exclude
2000,roberry01,Ryan Robertson,1,25,25.0,-5.4,Exclude
2000,roberst01,Stanley Roberts,5,51,10.2,-9.0,Exclude
2000,robincl02,Clifford Robinson,80,2839,35.4875,2.5,Role Player
2000,robinda01,David Robinson,80,2557,31.9625,5.9,All-Star
2000,robined01,Eddie Robinson,67,1112,16.597014925373134,0.6,Role Player
2000,robingl01,Glenn Robinson,81,2909,35.913580246913575,0.1,Starter
2000,rodmade01,Dennis Rodman,12,389,32.416666666666664,-3.2000000000000006,Exclude
2000,rogerca01,Carlos Rogers,53,1101,20.77358490566038,-0.9,Exclude
2000,rogerro01,Rodney Rogers,82,2286,27.87804878048781,2.6,Starter
2000,rogerro02,Roy Rogers,40,355,8.875,-1.8,Exclude
2000,rooksse01,Sean Rooks,71,1001,14.098591549295776,-2.8,Bust
2000,roseja01,Jalen Rose,80,2978,37.225,1.4,Role Player
2000,rosema01,Malik Rose,74,1341,18.12162162162162,-2.6,Role Player
2000,ruffimi01,Michael Ruffin,71,975,13.732394366197186,-5.4,Role Player
2000,russebr01,Bryon Russell,82,2900,35.365853658536594,1.7,Role Player
2000,sabonar01,Arvydas Sabonis,66,1688,25.57575757575757,3.6,Exclude
2000,sallejo01,John Salley,45,303,6.7333333333333325,-2.9,Exclude
2000,schrede01,Detlef Schrempf,77,1662,21.584415584415584,1.1,Exclude
2000,scottde01,Dennis Scott,66,1263,19.13636363636364,-2.2,Exclude
2000,sealyma01,Malik Sealy,82,2392,29.170731707317074,-0.3,Exclude
2000,shawbr01,Brian Shaw,74,1249,16.878378378378383,-0.8,Role Player
2000,simpkdi01,Dickey Simpkins,69,1651,23.92753623188406,-6.3,Exclude
2000,skinnbr01,Brian Skinner,33,775,23.484848484848484,-2.3,Role Player
2000,smithjo02,Joe Smith,78,1975,25.320512820512818,-2.4,Role Player
2000,smithmi02,Michael Smith,46,1145,24.89130434782609,0.4,Exclude
2000,smithst01,Steve Smith,82,2689,32.792682926829265,2.9,Starter
2000,smitsri01,Rik Smits,79,1852,23.44303797468355,-1.5,Exclude
2000,snower01,Eric Snow,82,2866,34.951219512195124,0.1,Role Player
2000,spencfe01,Felton Spencer,26,149,5.730769230769232,-2.1,Exclude
2000,sprewla01,Latrell Sprewell,82,3276,39.95121951219512,1.0,Role Player
2000,stackje01,Jerry Stackhouse,82,3148,38.39024390243903,1.0,Starter
2000,stackry01,Ryan Stack,25,198,7.92,-8.4,Exclude
2000,starkjo01,John Starks,37,1190,32.16216216216216,-1.8759663865546217,Exclude
2000,stepavl01,Vladimir Stepania,30,202,6.7333333333333325,-10.800000000000002,Role Player
2000,stephjo01,Joe Stephens,13,181,13.923076923076925,-1.5,Exclude
