season,player_name,pro_id,cbb_id
2002,Dan Dickau,dickada01,dan-dickau-1
2002,Roger Mason,masonro01,roger-mason-1
2002,Robert Archibald,archiro01,robert-archibald-1
2002,Vincent Yarbrough,yarbrvi01,vincent-yarbrough-1
2002,Dan Gadzuric,gadzuda01,dan-gadzuric-1
2002,Carlos Boozer,boozeca01,carlos-boozer-1
2002,David Andersen,anderda03,
2002,Tito Maddox,maddoti01,tito-maddox-1
2002,Juan Carlos Navarro,navarju01,
2002,Mario Kasun,kasunma01,
2002,Ronald Murray,murraro01,
2002,Lonny Baxter,baxtelo01,lonny-baxter-1
2002,Matt Barnes,barnema02,matt-barnes-1
2002,Jamal Sampson,sampsja01,jamal-sampson-1
2002,Chris Owens,owensch01,chris-owens-1
2002,Darius Songaila,songada01,darius-songaila-1
2002,Rasual Butler,butlera01,rasual-butler-1
2002,Tamar Slay,slayta01,tamar-slay-1
2002,Luis Scola,scolalu01,
2002,Randy Holcomb,holcora01,randy-holcomb-1
2002,Corsley Edwards,edwarco01,corsley-edwards-1
2003,LeBron James,jamesle01,
2003,Darko Miličić,milicda01,
2003,Carmelo Anthony,anthoca01,carmelo-anthony-1
2003,Chris Bosh,boshch01,chris-bosh-1
2003,Dwyane Wade,wadedw01,dwyane-wade-1
2003,Chris Kaman,kamanch01,chris-kaman-1
2003,Kirk Hinrich,hinriki01,kirk-hinrich-1
2003,T.J. Ford,fordtj01,tj-ford-1
2003,Mike Sweetney,sweetmi01,mike-sweetney-1
2003,Jarvis Hayes,hayesja01,jarvis-hayes-1
2003,Mickaël Piétrus,pietrmi01,
2003,Nick Collison,collini01,nick-collison-1
2003,Marcus Banks,banksma01,marcus-banks-1
2003,Luke Ridnour,ridnolu01,luke-ridnour-1
2003,Reece Gaines,gainere01,reece-gaines-1
2003,Troy Bell,belltr01,troy-bell-1
2003,Žarko Čabarkapa,cabarza01,
2003,David West,westda01,david-west-1
2003,Sasha Pavlović,pavloal01,
2003,Dahntay Jones,jonesda02,dahntay-jones-1
2003,Boris Diaw,diawbo01,
2003,Zoran Planinić,planizo01,
2003,Travis Outlaw,outlatr01,
2003,Brian Cook,cookbr01,brian-cook-1
2003,Carlos Delfino,delfica01,
2003,Ndudi Ebi,ebind01,
2003,Kendrick Perkins,perkike01,
2003,Leandro Barbosa,barbole01,
2003,Josh Howard,howarjo01,josh-howard-1
2003,Maciej Lampe,lampema01,
2003,Jason Kapono,kaponja01,jason-kapono-1
2003,Luke Walton,waltolu01,luke-walton-1
2003,Jerome Beasley,beaslje01,
2003,Sofoklis Schortsanitis,schorso01,
2003,Szymon Szewczyk,szewcsz01,
2003,Mario Austin,austima01,mario-austin-1
2003,Travis Hansen,hansetr01,travis-hansen-1
