player_id,season,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes
will-solomon-1,1998-99,,49,,17,,acc,,,,1.3,0.424,203,0.36,73,0.325,66,0.621,41,34,,1-Jun,662,,,,0,79,,213,,Guard,,32,clemson,0.419,85,0.306,26,,50,0.454,24.2,75,118,0.398,47,,185,1.3,0.077
will-solomon-1,1999-00,,95,,14,,acc,,,,1,0.489,531,0.401,213,0.298,158,0.684,108,30,,1-Jun,1079,,,,2.1,85,,627,,Guard,,38,clemson,0.467,248,0.375,93,,123,0.517,17.1,125,283,0.424,120,,185,3.2,0.117
will-solomon-1,2000-01,,102,,9,,acc,,,69,0.5,0.5,461,0.397,183,0.358,165,0.788,130,30,28,1-Jun,998,,,17,2.4,71,,591,,Guard,,42,clemson,0.547,252,0.377,95,,86,0.548,18.6,123,209,0.421,88,,185,2.9,0.115
terence-morris-1,1997-98,,25,,29,,acc,,,,1.4,0.56,174,0.523,91,0.339,59,0.695,41,32,,9-Jun,,,,,1.3,,,236,,Forward,,27,maryland,0.213,37,0.351,13,,113,0.584,,,137,0.569,78,,221,2.7,
terence-morris-1,1998-99,,56,,77,,acc,,,,3.9,0.589,354,0.551,195,0.356,126,0.825,104,34,,9-Jun,999,,,,3.7,79,,521,,Forward,,50,maryland,0.215,76,0.355,27,,242,0.629,13.9,67,278,0.604,168,,221,7.6,0.303
terence-morris-1,1999-00,,80,,71,,acc,,,,3.3,0.536,406,0.493,200,0.33,134,0.761,102,34,,9-Jun,1103,,,,2.9,89,,537,,Forward,,53,maryland,0.236,96,0.365,35,,293,0.572,17.1,97,310,0.532,165,,221,6.2,0.224
terence-morris-1,2000-01,,68,,79,,acc,,,186,3.5,0.467,366,0.432,158,0.333,122,0.795,97,36,36,9-Jun,993,,,91,1.1,94,,439,,Forward,,32,maryland,0.246,90,0.289,26,,277,0.518,13.1,64,276,0.478,132,,221,4.6,0.186
brian-scalabrine-1,1998-99,,68,,25,,pac-10,,,,1.5,0.533,286,0.531,152,0.455,130,0.792,103,28,,9-Jun,869,,,,2.4,81,,408,,Center,,23,southern-california,0.021,6,0.167,1,,178,0.587,22,98,280,0.539,151,,241,3.9,0.179
brian-scalabrine-1,1999-00,,85,,25,,pac-10,,,,1.6,0.564,382,0.531,203,0.377,144,0.715,103,30,,9-Jun,1052,,,,3.2,78,,534,,Center,,36,southern-california,0.162,62,0.403,25,,180,0.593,19.6,110,320,0.556,178,,241,4.8,0.184
brian-scalabrine-1,2000-01,,96,,31,,pac-10,,,132,1.9,0.506,362,0.478,173,0.459,166,0.801,133,34,33,9-Jun,1116,,,70,2.4,89,,499,,Center,,30,southern-california,0.182,66,0.303,20,,202,0.566,19.1,104,296,0.517,153,,241,4.3,0.153
jeff-trepagnier-1,1997-98,,21,,14,,pac-10,,,,0.4,0.422,129,0.403,52,0.488,63,0.635,40,28,,4-Jun,,,,,0.1,,,149,,Guard,,28,southern-california,0.194,25,0.2,5,,98,0.469,,,104,0.452,47,,200,0.5,
jeff-trepagnier-1,1998-99,,38,,30,,pac-10,,,,1.6,0.528,254,0.492,125,0.343,87,0.713,62,28,,4-Jun,764,,,,1.6,76,,330,,Guard,,50,southern-california,0.264,67,0.269,18,,150,0.559,15.7,55,187,0.572,107,,200,3.2,0.168
jeff-trepagnier-1,1999-00,,60,,41,,pac-10,,,,2.5,0.528,373,0.488,182,0.268,100,0.66,66,29,,4-Jun,1054,,,,1.9,88,,460,,Guard,,94,southern-california,0.212,79,0.38,30,,191,0.547,13.2,64,294,0.517,152,,200,4.4,0.167
jeff-trepagnier-1,2000-01,,33,,20,,pac-10,,,66,1.2,0.478,159,0.453,72,0.384,61,0.607,37,21,17,4-Jun,621,,,41,0.4,56,,189,,Guard,,32,southern-california,0.214,34,0.235,8,,107,0.503,17.5,40,125,0.512,64,,200,1.6,0.101
damone-brown-1,1997-98,,1,,6,,big-east,,,,0.2,0.438,24,0.417,10,0.417,10,0.5,5,15,,9-Jun,,,,,0,,,26,,Forward,,1,syracuse,0.25,6,0.167,1,,13,0.452,,,18,0.5,9,,200,0.2,
damone-brown-1,1998-99,,26,,23,,big-east,,,,2,0.525,256,0.5,128,0.234,60,0.75,45,33,,9-Jun,815,,,,1.5,97,,314,,Forward,,28,syracuse,0.223,57,0.228,13,,180,0.552,12.9,42,199,0.578,115,,200,3.5,0.172
damone-brown-1,1999-00,,42,,19,,big-east,,,,2.1,0.515,268,0.511,137,0.306,82,0.671,55,31,,9-Jun,807,,,,1.4,86,,331,,Forward,,31,syracuse,0.045,12,0.167,2,,190,0.539,13,46,256,0.527,135,,200,3.5,0.172
damone-brown-1,2000-01,,56,,48,,big-east,,,191,3.5,0.497,437,0.492,215,0.362,158,0.791,125,34,34,9-Jun,1242,,,109,2.3,92,,559,,Forward,,58,syracuse,0.032,14,0.286,4,,300,0.546,11.9,69,423,0.499,211,,200,5.8,0.186
earl-watson-1,1997-98,,104,,12,,pac-10,,,,0.8,0.455,166,0.392,65,0.398,66,0.606,40,33,,1-Jun,,,,,0.3,,,191,,Guard,,64,ucla,0.392,65,0.323,21,,122,0.484,,,101,0.436,44,,195,1.1,
earl-watson-1,1998-99,,142,,11,,pac-10,,,,2,0.485,331,0.435,144,0.387,128,0.703,90,31,,1-Jun,1053,,,,1.5,96,,411,,Guard,,49,ucla,0.311,103,0.32,33,,116,0.525,24.5,127,228,0.487,111,,195,3.5,0.132
