player,position,lane_agility,shuttle_run,three_quarter_sprint,standing_vertical,max_vertical,bench_press,season,body_fat,hand_length,hand_width,height_shoes,standing_reach,weight,wingspan
Josh Howard,SF-SG,10.89,,3.09,33.0,36.5,4,2003.0,6.0,,,,105.5,202.0,86.0
Brandon Hunter,PF,11.13,,3.21,32.5,35.0,25,2003.0,8.0,,,,105.5,266.0,86.75
Sani Ibrahim,C-PF,13.02,,3.40,26.0,30.5,12,2003.0,9.3,,,,109.5,229.0,85.0
Michael Ignerski,PF-SF,11.21,,3.13,26.5,33.0,10,2003.0,10.5,,,,107.0,232.0,82.75
Robert Jackson,PF-C,11.26,,3.25,23.5,26.0,15,2003.0,15.9,,,,107.5,254.0,84.0
LeBron James,SF-SG,,,,,,,2003.0,6.7,,,,106.25,245.0,84.25
Britton Johnsen,SF-PF,10.67,,3.08,26.5,32.5,13,2003.0,7.3,,,,107.5,212.0,82.75
Dahntay Jones,SG-SF,10.91,,3.11,30.0,39.5,,2003.0,2.6,,,,102.5,214.0,81.0
James Jones,SF,11.18,,3.19,30.5,33.0,9,2003.0,6.7,,,,107.5,218.0,86.5
Chris Kaman,C-PF,11.33,,3.37,23.5,30.5,15,2003.0,16.3,,,,110.5,252.0,83.75
Jason Kapono,SG-SF,11.04,,3.38,23.5,30.0,8,2003.0,11.7,,,,102.0,215.0,78.5
Jason Keep,C-PF,11.18,,3.30,29.5,34.0,27,2003.0,8.6,,,,106.5,270.0,84.5
Bernard King,SG-PG,11.37,,3.18,28.0,33.5,11,2003.0,12.9,,,,98.5,200.0,77.5
Brandin Knight,PG,,,,,,6,2003.0,10.5,,,,95.5,190.0,78.0
Kyle Korver,SF,11.42,,3.47,25.5,31.5,13,2003.0,6.7,,,,102.5,211.0,81.5
James Lang,C-PF,14.01,,3.55,24.5,32.0,8,2003.0,21.4,,,,110.0,316.0,90.25
Donald Little,PF-C,11.18,,3.20,33.0,37.0,18,2003.0,7.3,,,,97.0,229.0,87.0
Chris Marcus,C,,,,,,12,2003.0,23.1,,,,114.0,334.0,92.0
Chris Massie,PF-C,12.48,,3.22,26.5,33.0,13,2003.0,14.8,,,,106.5,259.0,85.0
Will McDonald,C-PF,11.83,,3.42,25.0,32.5,17,2003.0,13.6,,,,109.5,258.0,87.5
Darko Milicic,PF,11.30,,3.36,26.5,32.5,13,2003.0,8.0,,,,111.5,250.0,89.0
Jeff Newton,PF,11.18,,3.23,27.5,34.0,9,2003.0,5.3,,,,106.0,199.0,85.0
Uche Nsonwu-Amadi,PF-C,11.83,,3.25,27.5,29.0,21,2003.0,6.0,,,,106.5,246.0,87.75
Ugonna Okyekwe,SF,11.43,,3.20,32.0,36.5,8,2003.0,4.3,,,,109.0,228.0,87.0
Marlon Parmer,PG,,,3.42,28.0,32.0,13,2003.0,9.3,,,,97.0,184.0,75.5
Stephane Pelle,PF-SF,11.37,,3.27,28.5,33.0,17,2003.0,12.4,,,,107.0,246.0,86.0
Kirk Penney,SG-SF,10.44,,3.04,32.0,35.5,15,2003.0,8.0,,,,97.0,218.0,77.25
Pavel Podkolzin,C,13.40,,3.80,19.5,22.5,5,2003.0,16.3,,,,116.0,303.0,89.75
Josh Powell,PF-SF,11.72,,3.20,32.5,38.5,15,2003.0,8.0,,,,107.5,227.0,85.0
Hollis Price,PG-SG,10.72,,3.25,27.5,33.0,1,2003.0,7.3,,,,94.5,165.0,76.5
Luke Ridnour,PG,11.00,,3.28,26.0,32.5,0,2003.0,5.3,,,,95.5,167.0,75.0
Joe Shipp,SG,11.75,,3.20,29.0,34.5,17,2003.0,11.7,,,,103.0,224.0,82.0
Ron Slay,SF-PF,12.01,,3.43,28.5,31.5,10,2003.0,16.3,,,,103.5,236.0,82.0
Tommy Smith,PF-SF,11.54,,3.14,30.0,33.0,2,2003.0,6.7,,,,107.5,200.0,86.5
Theron Smith,PF-SF,10.99,,3.10,28.5,32.0,25,2003.0,9.3,,,,104.5,234.0,82.25
Marvin Stone,C-PF,12.10,,3.50,25.5,27.5,9,2003.0,17.4,,,,109.5,261.0,87.5
Michael Sweetney,PF,12.90,,3.28,26.0,31.5,3,2003.0,14.1,,,,107.5,262.0,85.0
Sasha Vujacic,PG-SG,,,,,,0,2003.0,14.1,,,,101.0,193.0,77.5
Dwyane Wade,SG-SF,10.56,,3.08,31.5,35.0,9,2003.0,6.7,,,,102.0,212.0,82.75
Wayne Wallace,PF,11.85,,3.24,29.5,36.0,6,2003.0,4.6,,,,108.0,187.0,86.0
Luke Walton,SF-PF,,,,28.0,,12,2003.0,9.3,,,,104.0,235.0,80.5
David West,PF-SF,12.18,,3.43,28.5,31.5,11,2003.0,8.0,,,,108.25,226.0,88.25
Mo Williams,PG-SG,,,,,,3,2003.0,6.7,,,,98.5,189.0,77.5
Wesley Wilson,C-PF,12.19,,3.30,27.0,30.5,20,2003.0,12.4,,,,110.5,257.0,87.0
Doug Wrenn,SF-PF,11.38,,3.17,34.5,41.0,15,2003.0,7.3,,,,100.5,220.0,91.5
Derrick Zimmerman,PG,11.09,,3.10,34.0,40.5,13,2003.0,5.3,,,,96.25,190.0,81.0
Tony Allen,SG,10.70,,3.19,31.5,36.5,17,2004.0,6.7,,,76.25,102.0,214.0,81.0
Trevor Ariza,SG-SF,11.63,,3.29,29.5,32.0,8,2004.0,8.0,,,80.25,107.5,201.0,86.0
Andre Barrett,PG,10.63,,3.08,29.0,34.5,13,2004.0,6.7,,,69.75,92.0,171.0,73.0
Brandon Bass,PF,11.61,,3.24,31.5,33.0,18,2004.0,9.3,,,79.25,106.5,246.0,86.5
Andris Biedrins,C,,,,,,,2004.0,9.3,,,,,,
Tony Bobbitt,SG,,,,,,1,2004.0,7.3,,,76.0,100.0,185.0,79.0
Brian Boddicker,SF-PF,10.93,,3.25,28.0,30.0,16,2004.0,11.2,,,80.75,105.5,230.0,82.0
Tim Bowers,PG-SG,11.24,,3.21,37.0,43.5,13,2004.0,2.6,,,73.75,98.0,181.0,81.0
Andre Brown,PF-C,11.70,,3.22,32.0,35.5,18,2004.0,6.0,,,81.5,107.0,236.0,83.0
Antonio Burks,PG,,,,,,9,2004.0,9.9,,,72.75,96.5,191.0,78.5
Jackie Butler,C,13.32,,3.40,23.0,25.0,14,2004.0,16.3,,,81.5,109.0,263.0,85.5
Aleksandar Capin,PG,11.50,,3.27,23.0,29.0,4,2004.0,9.3,,,73.25,94.0,176.0,73.5
Ales Chan,C,12.90,,3.62,21.0,29.0,2,2004.0,14.8,,,86.0,113.0,255.0,87.0
Josh Childress,SG-SF,11.95,,3.38,29.0,36.0,11,2004.0,9.3,,,79.25,105.0,196.0,83.0
TJ Cummings,SF,11.58,,3.12,27.0,31.0,6,2004.0,6.7,,,80.75,106.5,215.0,81.5
Erik Daniels,SF-PF,11.38,,3.19,31.0,32.0,4,2004.0,18.5,,,79.5,106.0,223.0,83.0
Luol Deng,SF,11.46,,3.34,27.5,31.5,5,2004.0,6.7,,,80.0,108.5,220.0,84.5
Marcus Douthit,C-PF,11.64,,3.34,25.5,31.5,1,2004.0,13.7,,,83.0,111.5,223.0,88.0
Chris Duhon,PG,10.45,,3.14,31.5,35.0,7,2004.0,6.7,,,73.25,98.0,193.0,78.5
John Edwards,C,,,,,,15,2004.0,14.1,,,85.0,113.0,264.0,88.5
Andre Emmett,SG-SF,,,,,,,2004.0,6.7,,,76.5,100.0,216.0,81.0
Desmon Farmer,SG,10.89,,3.20,24.0,31.0,12,2004.0,5.3,,,77.75,103.0,214.0,80.5
Luis Flores,PG-SG,10.97,,3.10,29.0,32.0,15,2004.0,6.0,,,73.75,98.5,202.0,79.5
Matt Freije,SF-PF,11.15,,3.25,29.5,31.0,13,2004.0,10.8,,,81.5,108.5,234.0,85.0
Chris Garnett,C-PF,11.75,,3.36,27.0,31.5,22,2004.0,14.8,,,81.75,108.0,260.0,85.0
Ryan Gomes,SF-PF,12.49,,3.24,26.5,30.5,9,2004.0,,,,79.75,106.5,248.0,86.0
Ben Gordon,PG-SG,11.28,,3.19,31.5,37.5,12,2004.0,5.3,,,74.25,99.0,192.0,80.5
Devin Harris,PG,11.03,,3.19,30.5,37.0,5,2004.0,5.3,,,75.0,98.5,170.0,79.5
Dwight Howard,PF-C,11.21,,3.14,30.5,35.5,7,2004.0,10.5,,,82.25,111.5,240.0,88.5
Rolando Howell,PF,11.91,,3.28,28.5,34.5,,2004.0,11.7,,,80.5,107.0,229.0,84.5
Kris Humphries,PF,11.33,,3.20,29.5,36.0,22,2004.0,6.7,,,81.5,106.5,238.0,84.5
Andre Iguodala,SG-SF,11.17,,3.18,30.5,34.5,4,2004.0,6.7,,,78.75,105.5,217.0,83.0
Martin Iti,C-PF,12.28,,3.41,26.5,32.5,13,2004.0,10.5,,,81.75,111.5,233.0,89.0
Luke Jackson,SF-SG,11.10,,3.24,26.5,36.0,13,2004.0,8.0,,,79.0,103.0,212.0,80.5
Al Jefferson,PF-SF,13.08,,3.29,28.5,30.0,3,2004.0,10.5,,,81.75,110.0,263.0,86.5
Arthur Johnson,PF-C,11.81,,3.38,26.5,28.5,14,2004.0,16.3,,,80.5,109.0,262.0,87.0
Ivan Koljevic,PG,11.07,,3.28,26.0,28.5,4,2004.0,6.7,,,74.0,95.0,172.0,74.5
Herve Lamizana,SF-PF,,,,,,,2004.0,6.7,,,80.5,107.0,210.0,85.5
Sergei Lishouk,PF-SF,,,,,,,2004.0,10.5,,,83.5,109.5,244.0,84.0
Shaun Livingston,PG-SG,10.72,,3.23,26.5,30.0,,2004.0,6.7,,,79.5,105.5,186.0,83.0
Jaime Lloreda,PF,12.93,,3.23,25.5,29.5,6,2004.0,9.9,,,80.5,107.0,247.0,81.5
Bryant Matthews,SF-SG,11.08,,3.13,29.0,34.5,13,2004.0,6.7,,,78.75,105.5,206.0,84.5
Marcus Melvin,SF-PF,11.81,,3.33,25.0,30.5,11,2004.0,10.5,,,80.5,105.5,241.0,84.0
Rich Melzer,PF-SF,11.74,,3.39,24.5,28.5,8,2004.0,12.4,,,80.75,107.0,229.0,86.0
Ricky Minard,PG-SG,10.94,,3.10,27.5,33.0,13,2004.0,8.0,,,76.25,101.5,198.0,79.0
Marcus Moore,PG-SG,11.31,,3.34,25.0,30.0,,2004.0,14.8,,,77.25,101.5,202.0,81.0
James Moore,PF-SF,11.01,,3.21,28.5,32.5,,2004.0,8.0,,,80.0,107.0,198.0,84.5
Michel Morandais,SG-SF,11.45,,3.22,30.5,33.5,16,2004.0,8.6,,,76.75,102.0,205.0,83.5
Jameer Nelson,PG,10.95,,3.14,28.5,33.5,15,2004.0,8.0,,,72.5,95.0,199.0,74.5
Misan Nikagbatse,SG-PG,11.27,,3.32,27.5,32.5,11,2004.0,12.9,,,76.75,102.0,223.0,82.0
Emeka Okafor,C-PF,12.32,,3.15,31.5,34.0,22,2004.0,5.3,,,82.0,110.5,257.0,88.0
Randall Orr,PF-SF,11.18,,3.27,26.5,33.0,6,2004.0,6.7,,,82.75,107.5,193.0,82.5
Dylan Page,SF,10.99,,3.40,26.0,30.0,17,2004.0,12.3,,,80.75,105.0,239.0,79.0
Drago Pasalic,PF,12.97,,3.56,25.5,30.0,8,2004.0,12.9,,,82.75,108.0,231.0,83.5
Rickey Paulding,SG,11.14,,3.17,30.0,36.0,17,2004.0,5.3,,,76.0,101.5,210.0,81.5
Kelvin Pena,SG-PG,11.50,,3.24,27.5,32.5,1,2004.0,8.6,,,75.25,99.5,182.0,78.5
Tim Pickett,PG-SG,,,,,,,2004.0,6.0,,,76.25,100.5,207.0,79.5
Omar Quintero,PG,11.37,,3.25,25.0,29.0,2,2004.0,14.1,,,71.25,92.5,170.0,71.5
Peter Ramos,C,12.61,,3.60,24.0,26.5,2,2004.0,6.7,,,87.25,111.5,266.0,89.5
Jared Reiner,C-PF,12.65,,3.56,22.0,26.0,15,2004.0,12.9,,,83.75,109.0,246.0,84.5
Lawrence Roberts,PF,12.52,,3.30,27.5,33.0,18,2004.0,9.3,,,81.0,106.5,233.0,81.5
Bernard Robinson,SG-SF,10.91,,3.17,28.5,34.5,14,2004.0,6.0,,,78.5,102.0,208.0,82.0
Nate Robinson,PG,10.75,,2.96,35.5,43.5,13,2004.0,6.7,,,69.0,91.5,181.0,73.0
Aerick Sanders,PF,11.98,,3.37,24.5,30.5,9,2004.0,6.7,,,79.5,106.0,205.0,83.5
Romain Sato,SG,11.27,,3.18,31.5,35.5,8,2004.0,6.0,,,75.25,102.5,204.0,83.0
Blagota Sekulic,SF-PF,10.93,,3.39,23.5,31.5,8,2004.0,9.3,,,82.5,107.0,234.0,83.0
Josh Smith,SG-SF,11.43,,3.24,32.5,39.5,12,2004.0,6.7,,,80.25,106.5,221.0,84.0
J.R. Smith,SG-SF,10.93,,3.21,29.0,35.5,5,2004.0,6.7,,,78.75,104.0,227.0,82.0
Kirk Snyder,SG-SF,10.79,,3.13,30.0,35.0,19,2004.0,9.3,,,78.75,104.0,228.0,81.0
Pape Sow,PF-C,12.13,,3.27,28.0,31.5,18,2004.0,9.3,,,82.0,108.5,233.0,86.0
Tiago Splitter,C-PF,11.65,,3.38,26.0,31.5,8,2004.0,5.3,,,83.75,109.5,233.0,86.0
Blake Stepp,PG,,,,,,,2004.0,8.0,,,,,,
Tom Timmerrmans,PF-C,13.13,,3.63,23.0,26.5,15,2004.0,15.2,,,83.5,107.5,272.0,83.0
Marko Tomas,SG-PG,11.80,,3.23,32.0,31.5,,2004.0,9.3,,,79.75,103.5,198.0,79.0
Beno Udrih,PG,,,,,,2,2004.0,9.3,,,75.75,98.0,199.0,76.5
Jackson Vroman,PF-C,10.75,,3.25,29.5,33.5,12,2004.0,6.7,,,82.75,105.5,226.0,84.0
Delonte West,PG-SG,11.20,,3.15,30.0,35.0,12,2004.0,6.7,,,74.75,99.5,183.0,78.0
Damien Wilkins,SG-SF,11.92,,3.15,26.5,31.0,15,2004.0,7.3,,,78.0,106.0,222.0,84.0
Mike Williams,SF,11.59,,3.42,23.5,27.5,,2004.0,9.3,,,78.5,105.5,197.0,83.5
Nate Williams,PF-SF,12.60,,3.35,23.5,26.0,1,2004.0,12.4,,,82.0,109.5,240.0,85.5
Rashad Wright,PG,11.15,,3.28,28.5,32.5,10,2004.0,8.0,,,73.75,98.5,190.0,82.0
Alex Acker,SG,11.67,,3.35,28.0,32.0,11,2005.0,,,,76.75,102.5,183.0,84.0
Deji Akindele,C-PF,12.58,,3.35,30.5,32.5,13,2005.0,,,,83.0,108.5,236.4,87.0
Mustafa Al-Sayyad,PF-C,11.56,,3.42,26.5,30.5,,2005.0,,,,,,,
Nemanja Aleksandrov,PF-SF,,,,,,5,2005.0,,,,84.0,110.0,220.6,83.0
Alan Anderson,SG-SF,10.32,,3.27,26.5,30.5,10,2005.0,,,,78.0,104.0,223.2,81.5
Martynas Andriuskevicius,C-PF,11.94,,3.42,24.0,27.5,0,2005.0,,,,87.0,112.5,227.8,83.25
Sean Banks,SF,11.74,,3.35,25.0,31.5,7,2005.0,,,,79.0,108.0,206.4,85.0
Eddie Basden,SG-SF,10.52,,3.21,33.0,36.5,14,2005.0,,,,77.5,101.0,210.0,82.25
Mike Bell,SF-PF,11.73,,3.29,33.5,39.5,13,2005.0,,,,81.25,104.5,206.2,85.5
Andrew Bogut,C-PF,12.06,,3.51,27.5,33.5,13,2005.0,,,,84.25,110.5,250.6,87.0
Dee Brown,PG-SG,,,,,,,2005.0,,,,72.0,94.0,179.0,74.0
Will Bynum,PG-SG,11.12,,3.00,33.0,40.5,15,2005.0,,,,71.5,93.0,188.8,75.5
Marcus Campbell,C,,,,,,9,2005.0,,,,84.25,114.0,280.4,90.0
Will Conroy,PG,10.51,,3.28,30.5,36.5,14,2005.0,,,,74.0,96.5,188.6,75.0
Taylor Coppenrath,PF-SF,11.51,,3.44,24.5,27.0,5,2005.0,,,,81.25,106.5,252.4,83.5
Travis Diener,PG-SG,10.85,,3.26,24.5,31.0,1,2005.0,,,,73.0,93.5,165.2,71.75
Ike Diogu,PF,11.94,,3.45,28.0,31.0,21,2005.0,,,,80.0,109.0,255.4,87.5
Daryl Dorsey,PG,11.41,,3.24,25.0,30.5,0,2005.0,,,,72.5,94.0,160.8,71.5
Monta Ellis,SG-PG,12.13,,3.31,26.5,31.5,0,2005.0,,,,75.25,98.0,176.6,74.75
Raymond Felton,PG,10.50,,3.06,29.0,33.5,6,2005.0,,,,72.25,98.0,199.4,76.25
Rudy Fernandez,SG,10.48,,3.33,26.5,35.5,0,2005.0,,,,78.0,101.5,172.0,79.5
D'Or Fischer,C-PF,12.53,,3.50,28.0,30.5,2,2005.0,,,,82.5,110.5,242.4,90.0
Eddy Fobbs,C-PF,11.53,,3.28,29.5,34.0,12,2005.0,,,,83.25,111.5,235.2,90.75
Sharrod Ford,PF,11.92,,3.20,28.5,37.0,9,2005.0,,,,80.25,106.0,212.8,85.5
Channing Frye,PF-C,11.60,,3.38,27.5,31.0,19,2005.0,,,,82.5,110.5,243.6,86.5
Deng Gai,PF-C,12.51,,3.27,31.5,35.5,11,2005.0,,,,81.25,110.5,214.0,88.5
Francisco Garcia,SF-SG,10.63,,3.33,27.5,31.5,5,2005.0,,,,79.0,103.0,189.6,82.75
John Gilchrist,PG,11.48,,3.15,30.5,36.5,12,2005.0,,,,74.5,96.5,195.2,81.25
Marcin Gortat,PF-C,11.48,,3.33,29.5,36.0,18,2005.0,,,,84.0,110.0,225.2,87.5
Joey Graham,SF,10.62,,3.05,30.0,36.0,26,2005.0,,,,78.5,104.0,216.6,80.0
Danny Granger,,10.84,,3.34,31.0,34.0,10,2005.0,,,,80.5,103.0,225.4,85.5
Gerald Green,SF,11.20,,3.21,31.5,39.0,7,2005.0,,,,79.25,104.0,192.0,81.75
Charles Hayes,SF-PF,10.70,,3.34,30.0,33.0,20,2005.0,,,,78.75,104.5,232.4,82.0
Luther Head,PG-SG,11.12,,3.21,31.5,38.5,14,2005.0,,,,75.0,98.5,178.8,77.25
Julius Hodge,SG-SF,10.89,,3.18,24.5,29.0,14,2005.0,,,,79.0,107.5,202.2,84.5
Jared Homan,C-PF,,,,,,16,2005.0,,,,80.75,104.5,248.2,85.25
Ersan Ilyasova,SF,11.59,,3.56,22.0,30.0,2,2005.0,,,,81.0,109.5,208.8,85.25
Jarrett Jack,PG,10.87,,3.24,26.0,28.5,5,2005.0,,,,75.5,100.0,197.6,79.5
Dwayne Jones,C-PF,11.87,,3.25,28.0,31.5,15,2005.0,,,,82.0,108.5,242.2,86.75
Mindaugas Katelynas,SF-PF,11.60,,3.38,31.5,35.0,7,2005.0,,,,80.5,105.5,217.0,83.0
Jason Klotz,C-PF,13.13,,3.68,21.5,27.0,12,2005.0,,,,81.75,107.5,249.4,82.0
Carl Krauser,PG-SG,11.62,,3.38,26.0,31.0,8,2005.0,,,,72.75,98.5,193.4,77.5
Keith Langford,SG-SF,11.38,,3.23,32.0,29.5,8,2005.0,,,,75.5,101.0,203.2,81.0
David Lee,PF,10.80,,3.19,30.5,32.5,14,2005.0,,,,81.0,106.5,229.5,84.0
David Lucas,PF,,,,,,17,2005.0,,,,79.75,103.5,233.4,84.0
John Lucas III,PG,10.44,,3.14,29.0,34.0,4,2005.0,,,,70.5,92.0,154.4,72.0
Rawle Marshall,SG-SF,11.64,,3.21,30.5,37.0,7,2005.0,,,,77.75,104.0,186.6,85.0
Jason Maxiell,PF,,,,,,,2005.0,,,,78.25,107.0,257.6,87.25
Sean May,PF,11.04,,3.29,30.0,33.0,12,2005.0,,,,80.5,105.0,258.8,85.25
Rashad McCants,SG,10.39,,3.11,32.5,34.5,15,2005.0,,,,76.0,103.5,201.0,82.75
Ivan McFarlin,PF,10.64,,3.27,26.5,32.0,10,2005.0,,,,78.75,105.5,228.6,81.0
Juan Mendez,PF-SF,11.70,,3.24,29.0,33.0,14,2005.0,,,,78.75,106.5,231.4,84.0
Aaron Miles,PG,10.69,,3.22,32.0,37.5,7,2005.0,,,,73.5,94.0,174.6,75.5
Ellis Myles,PF,12.80,,3.42,26.0,28.5,15,2005.0,,,,79.25,105.5,255.2,81.75
Larry O'Bannon,SG,11.44,,3.18,31.5,36.5,17,2005.0,,,,76.25,99.5,196.0,78.0
Drago Pasalic,SF-PF,12.12,,3.48,25.0,30.5,11,2005.0,,,,83.0,108.5,238.8,83.75
Chris Paul,PG,11.09,,3.22,32.0,38.0,10,2005.0,,,,73.0,93.0,178.0,76.25
Kevin Pittsnogle,PF,,,,,,,2005.0,,,,82.25,106.0,259.2,82.5
Roger Powell,SF,,,,,,,2005.0,,,,78.0,104.0,218.6,83.5
Carlos Powell,SF-PF,11.54,,3.21,27.5,34.5,12,2005.0,,,,78.75,105.0,221.8,82.75
Ronnie Price,PG,10.49,,3.29,31.5,39.0,11,2005.0,,,,74.25,96.5,184.8,77.5
Anthony Roberson,PG,11.17,,3.19,31.5,37.0,14,2005.0,,,,74.5,95.0,178.8,74.75
Brandon Rush,SG-SF,11.33,,3.31,32.5,35.0,0,2005.0,,,,78.5,104.5,211.4,83.25
Luke Schenscher,C,12.40,,3.47,23.5,26.5,1,2005.0,,,,85.5,111.5,241.6,89.0
Wayne Simien,PF,11.05,,3.35,27.0,27.5,11,2005.0,,,,81.0,107.0,255.8,84.0
Tre Simmons,SG-SF,10.80,,3.18,27.0,31.5,3,2005.0,,,,77.0,102.5,194.2,79.5
David Simon,C-PF,11.98,,3.44,28.0,33.0,18,2005.0,,,,81.5,108.0,258.8,87.5
Chris Taft,PF,11.26,,3.27,28.5,33.0,14,2005.0,,,,81.5,109.0,261.0,85.75
Omar Thomas,SF-SG,11.11,,3.27,25.0,29.5,6,2005.0,,,,76.5,102.0,200.0,80.0
Chris Thomas,PG,10.84,,3.33,28.5,34.0,14,2005.0,,,,73.0,95.0,176.2,75.0
Dijon Thompson,SF-SG,,,,,,,2005.0,,,,80.0,105.5,195.8,81.75
Ronny Turiaf,PF,11.50,,3.23,30.5,33.0,15,2005.0,,,,81.25,106.5,237.8,85.5
Charlie Villanueva,PF-SF,10.86,,3.30,26.0,31.0,11,2005.0,,,,81.5,109.0,236.6,84.25
Hakim Warrick,PF-SF,,,3.22,33.0,38.0,11,2005.0,,,,80.5,108.0,215.0,86.0
Martell Webster,SF,11.39,,3.39,28.0,30.5,7,2005.0,,,,79.5,106.0,229.6,83.0
Robert Whaley,PF-C,12.11,,3.25,28.5,33.5,15,2005.0,,,,81.0,108.0,269.4,86.0
Marvin Williams,PF-SF,11.11,,3.17,29.5,35.0,12,2005.0,,,,80.25,108.0,228.2,87.5
Deron Williams,PG,10.83,,3.25,30.0,35.0,15,2005.0,,,,74.75,98.0,202.4,78.25
Jawad Williams,SF,11.39,,3.23,28.0,34.0,15,2005.0,,,,80.0,106.5,218.0,85.25
Antoine Wright,SF-SG,11.45,,3.41,26.5,29.5,12,2005.0,,,,78.25,104.5,202.6,80.75
Bracey Wright,SG-PG,11.58,,3.27,30.0,36.0,8,2005.0,,,,74.5,100.5,186.8,82.0
Kenny Adeleke,PF-C,11.57,,3.47,28.5,30.5,26,2006.0,10.5,,,79.75,104.0,250.0,82.25
Maurice Ager,SG-PG,11.73,,3.22,29.5,35.0,11,2006.0,8.0,,,76.5,101.5,203.0,79.75
LaMarcus Aldridge,PF-C,12.02,,3.43,26.5,34.0,8,2006.0,8.7,,,83.25,110.0,234.0,88.75
Morris Almond,SG-SF,11.45,,3.19,31.0,35.5,13,2006.0,6.9,,,78.0,102.5,214.0,82.0
Lou Amundson,PF,10.58,,3.2,32.0,35.5,14,2006.0,6.8,,,80.0,103.5,221.0,83.5
Rashad Anderson,SG,11.77,,3.48,27.5,32.5,13,2006.0,17.3,,,76.5,100.0,224.0,79.0
Hilton Armstrong,C-PF,12.28,,3.53,28.5,31.5,13,2006.0,6.3,,,82.25,109.0,240.0,88.0
James Augustine,PF,10.54,,3.25,30.0,32.5,13,2006.0,5.5,,,81.75,104.0,227.0,84.25
Renaldo Balkman,SF-PF,11.58,,3.22,30.5,35.0,9,2006.0,4.9,,,78.5,104.5,206.0,85.0
J.P. Batista,PF,11.62,,3.38,26.0,30.5,26,2006.0,12.0,,,80.5,103.5,265.0,82.0
Will Blalock,PG,11.08,,3.18,35.0,40.0,8,2006.0,7.2,,,72.5,96.5,194.0,78.0
Brandon Bowman,SF,11.41,,3.31,31.0,34.0,24,2006.0,8.4,,,80.25,103.0,209.0,83.5
Ronnie Brewer,SG-PG,11.32,,3.14,35.0,41.0,19,2006.0,5.0,,,78.75,103.5,223.0,83.25
Denham Brown,SG-SF,11.42,,3.25,28.0,34.5,12,2006.0,9.0,,,77.0,102.5,218.0,81.5
Brad Buckman,PF,12.26,,3.54,25.5,30.5,10,2006.0,10.5,,,80.75,107.5,238.0,84.0
Nik Caner-Medley,SF,10.57,,3.21,28.5,35.5,17,2006.0,9.6,,,80.0,103.0,234.0,81.0
Rodney Carney,SG-SF,10.57,,3.06,32.0,38.5,10,2006.0,5.3,,,77.75,103.5,204.0,82.0
Keydren Clark,PG,11.03,,3.11,31.0,34.0,13,2006.0,11.6,,,70.25,92.5,184.0,74.5
Mardy Collins,PG-SG,12.0,,3.27,31.5,37.5,9,2006.0,10.0,,,77.5,103.0,224.0,82.0
Taquan Dean,SG-PG,10.53,,3.2,30.5,34.5,16,2006.0,3.9,,,75.0,98.0,183.0,78.75
Terence Dials,PF-C,11.54,,3.5,26.5,30.0,16,2006.0,15.8,,,81.0,106.0,253.0,84.0
Sean Dockery,PG-SG,10.88,,3.34,29.0,33.0,4,2006.0,7.3,,,74.0,95.5,182.0,76.5
Jordan Farmar,PG,11.07,,3.17,33.5,42.0,11,2006.0,4.4,,,74.0,94.5,171.0,75.0
Randy Foye,SG-PG,10.53,,3.23,32.0,38.0,14,2006.0,10.0,,,75.25,97.0,212.0,78.25
Torin Francis,PF-C,11.97,,3.51,26.5,32.0,9,2006.0,12.4,,,82.0,105.5,247.0,85.0
Rudy Gay,SF-PF,11.03,,3.32,33.0,40.5,9,2006.0,5.7,,,80.0,107.5,222.0,87.0
Nick George,SF-SG,11.69,,3.25,30.5,38.0,14,2006.0,6.0,,,77.75,103.0,201.0,82.0
Taj Gray,PF-SF,11.02,,3.45,28.5,33.0,10,2006.0,6.8,,,80.5,107.0,231.0,84.75
Dan Grunfeld,SF-SG,11.3,,3.46,28.0,33.5,16,2006.0,10.4,,,78.0,99.0,216.0,78.25
Matt Haryasz,PF-C,11.34,,3.46,27.5,31.5,10,2006.0,9.8,,,83.0,107.5,219.0,84.25
Eric Hicks,PF,12.06,,3.34,30.0,34.0,20,2006.0,7.1,,,77.5,105.5,238.0,85.5
Tedric Hill,SF-PF,12.23,,3.24,30.0,36.5,1,2006.0,7.3,,,81.0,107.0,236.0,85.0
Daniel Horton,PG-SG,10.35,,3.16,30.0,36.5,17,2006.0,8.0,,,74.25,96.5,198.0,79.0
Solomon Jones,PF-C,11.27,,3.3,32.0,39.0,6,2006.0,7.4,,,81.75,109.0,224.0,88.75
Bobby Jones,SF-SG,11.23,,3.28,28.5,34.5,15,2006.0,8.0,,,78.75,101.5,211.0,81.5
Viktor Keyru,SG-PG,11.4,,3.24,29.0,34.5,11,2006.0,5.5,,,78.0,104.0,202.0,81.25
Marco Killingsworth,PF,11.42,,3.34,28.0,32.0,13,2006.0,19.0,,,78.75,104.0,266.0,87.0
Tarence Kinsey,SF-SG,10.67,,3.3,29.0,35.5,5,2006.0,4.1,,,77.5,100.5,179.0,78.75
Carl Krauser,PG,11.62,,3.38,26.0,31.0,8,2006.0,8.0,,,72.75,97.0,190.0,78.25
Chris McCray,SG,11.46,,3.34,30.5,39.0,1,2006.0,9.6,,,76.0,96.5,187.0,77.75
Gerry McNamara,PG-SG,11.28,,3.4,27.0,32.0,3,2006.0,12.8,,,72.5,92.5,177.0,72.75
