player_id,season,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,win_shares,win_shares_per_40_minutes,num_seasons
kenyon-martin-1,1999,,44.317880794701985,,97.39735099337749,,cusa,,,,5.000662251655629,0.5716622516556292,342.3112582781457,0.5696556291390728,194.841059602649,0.47337748344370867,167.25827814569536,0.6436026490066227,110.86754966887418,31.662251655629138,,906.0198675496689,,,,3.2708609271523184,83.58278145695364,,501.887417218543,,Center,,41.01324503311258,cincinnati,0.013364238410596028,5.013245033112582,0.19129801324503315,1.3377483443708609,,276.158940397351,0.5923907284768212,13.114569536423842,59.64238410596027,337.29801324503313,0.5736622516556291,193.50331125827816,,8.271523178807946,0.36654304635761586,4
stromile-swift-1,1999,,28.327078891257997,,86.83795309168444,,sec,,,,3.8238805970149254,0.5902490405117271,310.4400852878465,0.58092921108742,185.82643923240937,0.5820029850746269,184.77867803837952,0.6146874200426439,113.8046908315565,31.55138592750533,,918.5923240938166,,,,3.615053304904052,81.87846481876332,,491.6413646055437,,Forward,,45.23880597014925,louisiana-state,0.073,22.68742004264392,0.25891471215351813,6.183795309168444,,250.43283582089552,0.6014660980810235,16.78754797441365,75.37484008528784,287.75266524520254,0.6063850746268656,179.64264392324094,,7.438933901918976,0.3006716417910448,2
marcus-fizer-1,1999,,39.04844792573252,,34.53930954453148,,big-12,,,,3.176965477226574,0.5565265448215839,522.9689585146505,0.5451993037423847,288.80533797505075,0.44395793443574116,230.35741224252973,0.733115172613867,168.86655062373077,35.04844792573252,34.76965477226574,1164.3803307223673,,,,5.001189440092835,96.03017116333044,,758.9680881926313,,Forward,,29.0,iowa-state,0.07249086161879895,38.09689585146504,0.3171325790542501,12.490861618798956,,269.38758340586014,0.5948903394255874,10.562431099506817,74.49086161879896,484.8720626631854,0.5629205105889179,276.3144763562518,,8.178154917319407,0.2745448215839861,3
mike-miller-1,1999,,83.00107411385606,,13.060866451843895,,sec,,,,2.112173290368779,0.5440902255639098,335.2771213748657,0.48036305048335126,160.4564983888292,0.46854457572502684,156.42606516290726,0.7224554242749732,113.33476548514143,34.818474758324385,,965.6487647690656,,,,2.7060866451843895,65.63694951664877,,477.36949516648764,,Forward,,43.333691371285354,florida,0.3767880415324024,126.39563193698532,0.34236305048335125,43.12173290368779,,219.48800572860722,0.5841510920157537,15.081632653061224,70.51521661296097,208.88148943788042,0.5628782670963121,117.33476548514143,,4.8182599355531694,0.19769781596849265,2
dermarr-johnson-1,1999,,45.0,,30.0,,cusa,,,,2.2,0.5670000000000001,293.0,0.478,140.0,0.324,95.0,0.737,70.0,32.0,,879.0,,,,2.6,64.0,,402.0,,Guard,,31.0,cincinnati,0.478,140.0,0.371,52.0,,123.0,0.594,12.0,46.0,153.0,0.575,88.0,,4.8,0.21799999999999997,1
chris-mihm-1,1999,,20.99148936170213,,87.98297872340426,,big-12,,,,4.031914893617022,0.5040978723404256,369.4595744680851,0.49812340425531915,185.15744680851063,0.6192553191489362,227.2936170212766,0.6989319148936171,158.95744680851064,32.66382978723404,,1018.3702127659575,,,,2.727659574468085,90.0,,533.9191489361702,,Center,,11.672340425531916,texas,0.029259574468085102,11.302127659574468,0.3100085106382979,4.646808510638298,,347.6808510638298,0.5568212765957447,14.371489361702128,79.99148936170212,358.15744680851066,0.5011319148936171,180.51063829787233,,6.82595744680851,0.26771063829787234,3
jamal-crawford-1,1999,,76.0,,16.0,,big-ten,,,,0.2,0.4760000000000001,255.0,0.41200000000000003,105.0,0.2,51.0,0.784,40.0,17.0,,577.0,,,,0.7,19.0,,283.0,,Guard,,19.0,michigan,0.396,101.0,0.327,33.0,,47.0,0.507,16.0,53.0,154.0,0.468,72.0,,0.9000000000000001,0.065,1
joel-przybilla-1,1999,,46.7737556561086,,82.07541478129714,,big-ten,,,,1.6226244343891403,0.5940010055304173,178.20864756158875,0.5940010055304173,106.58572146807441,0.4902488687782805,89.85017596782302,0.5243946706887884,46.038210155857215,23.50930115635998,,664.8853695324284,,,,1.613222724987431,71.03720462543993,,259.209653092006,,Center,,16.64152840623429,minnesota,0.0,0.0,,0.0,,171.33986928104576,0.5843212669683258,25.0131221719457,72.33986928104575,178.20864756158875,0.5940010055304173,106.58572146807441,,3.235847159376571,0.19290598290598288,2
keyon-dooling-1,1999,,105.83573050719153,,15.720666161998485,,big-12,,,,1.57441332323997,0.47158213474640426,321.05904617713855,0.40691067373202117,127.8569265707797,0.4989174867524602,152.41559424678275,0.7366033308099924,112.48599545798638,30.232399697199092,,904.4489023467071,,,,1.5720666161998484,53.69719909159728,,414.15064345193036,,Guard,,40.92959878879637,missouri,0.3815427706283119,133.666919000757,0.33139212717638156,45.950794852384554,,77.34746404239213,0.5291408024224074,16.153747161241487,72.85919757759274,187.39212717638154,0.44165480696442083,81.90613171839516,,3.146479939439818,0.14165253595760788,2
jerome-moiso-1,1999,,36.336498290922904,,47.4113178883403,,pac-12,,,,2.321496391948348,0.5006448917584504,320.68249145461454,0.4973364982909229,159.79453095328523,0.3852434485377896,125.25256361564755,0.613523357387011,76.79453095328523,31.95328522597797,,897.9449297379415,,,,1.3429927838966957,90.38321306494493,,398.1686289403722,,Forward,,33.598176984428406,ucla,0.028728826433725787,8.616786935055071,0.18871933156095708,1.785036080516521,,230.28066843904293,0.523336498290923,17.01496391948348,78.84124572730725,312.06570451955946,0.506429927838967,158.0094948727687,,3.5906570451955946,0.1619251804025826,2
