year,player,affiliation,overall_pick,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goals,free_throw_attempt_rate,free_throw_attempt,free_throw_percentage,free_throws,minutes_played,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,win_shares,player_id,classification
2016,Tyrone Wallace,California,60,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,28.5,123,1.3,12,7.1,pac-12,14.2,121.0,0.47700000000000004,343,151,0.449,154,0.649,100,901.0,3.5,27.0,63.0,427,1.8,27,0.245,84,0.298,25,9.1,148,0.513,15.1,74.0,259,0.486,126,27.4,3.4,tyrone-wallace-1,Exclude
2006,Tyrus Thomas,Louisiana State,4,F,11.36,3.1,3.2,34.0,39.5,8.0,5.6,8.95,9.59,79.25,80.25,108.0,217.0,87.0,10.4,42,8.1,99,,sec,,205.0,0.61,250,152,0.5479999999999999,137,0.657,90,829.0,,90.0,82.0,395,,33,0.004,1,1.0,1,19.7,295,0.627,15.8,59.0,249,0.606,151,21.7,7.3,tyrus-thomas-1,Starter
2012,Tyshawn Taylor,Kansas,41,G,11.48,3.04,3.2,32.0,36.5,0.0,4.2,8.75,8.75,74.75,76.0,97.5,177.0,78.25,29.7,186,0.5,6,6.0,big-12,7.5,83.0,0.5379999999999999,474,226,0.42,199,0.688,137,1303.0,0.7,8.0,77.0,647,2.4,52,0.321,152,0.382,58,4.2,91,0.569,19.5,138.0,322,0.522,168,27.5,5.2,tyshawn-taylor-1,Exclude
2015,Tyus Jones,Duke,24,G,11.84,2.95,3.32,26.5,32.5,2.0,6.5,8.25,8.75,72.5,74.0,97.0,184.6,77.0,27.5,217,0.2,3,9.4,acc,9.9,118.0,0.489,324,135,0.5,162,0.889,144,1322.0,1.8,19.0,46.0,461,2.7,59,0.38299999999999995,124,0.379,47,6.1,137,0.575,15.9,76.0,200,0.44,88,18.7,6.5,tyus-jones-1,Starter
2011,Vernon Macklin,Florida,52,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,7.7,30,3.1,26,4.9,sec,15.0,117.0,0.593,322,191,0.317,102,0.451,46,905.0,10.9,82.0,91.0,428,0.9,13,0.0,0,,0,13.0,199,0.578,14.5,63.0,322,0.593,191,25.1,3.6,vernon-macklin-1,Exclude
2013,Victor Oladipo,Indiana,2,G,10.69,3.14,3.25,33.0,42.0,15.0,6.55,8.75,9.25,75.25,76.25,100.5,213.2,81.25,15.2,74,2.8,28,17.0,big-ten,15.1,134.0,0.648,304,182,0.428,130,0.746,97,1021.0,11.8,93.0,89.0,491,4.6,78,0.22399999999999998,68,0.441,30,13.5,227,0.6709999999999999,18.5,83.0,236,0.644,152,22.2,6.7,victor-oladipo-1,Starter
2002,Vincent Yarbrough,Tennessee,32,F,11.7,3.1,3.32,30.0,34.0,10.0,7.79,8.95,9.59,77.5,80.81,104.5,202.0,84.5,,87,,25,,sec,,164.0,0.49,457,194,0.35700000000000004,163,0.687,112,1097.0,,70.0,60.0,560,,58,0.365,167,0.359,60,,234,0.524,14.8,93.0,290,0.462,134,,3.6,vincent-yarbrough-1,Exclude
2005,Von Wafer,Florida State,39,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,14.4,48,0.8,8,,acc,,68.0,0.551,284,124,0.239,68,0.721,49,758.0,,5.0,33.0,362,,30,0.5770000000000001,164,0.396,65,5.7,73,0.5720000000000001,13.4,49.0,120,0.49200000000000005,59,24.4,2.5,von-wafer-1,Exclude
2008,Walter Sharpe,Alabama-Birmingham,32,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,16.8,20,5.2,22,,cusa,,60.0,0.523,130,68,0.5,65,0.523,34,299.0,,22.0,36.0,170,,14,0.023,3,0.0,0,15.6,82,0.528,17.4,34.0,127,0.535,68,33.0,1.7,walter-sharpe-1,Exclude
2009,Wayne Ellington,North Carolina,28,G,11.14,3.04,3.2,31.5,38.0,13.0,5.5,8.46,9.1,76.25,77.25,100.0,202.4,78.5,14.5,101,0.4,6,,acc,,129.0,0.579,445,215,0.252,112,0.777,87,1155.0,,57.0,57.0,602,,36,0.45799999999999996,204,0.41700000000000004,85,8.3,186,0.604,11.1,62.0,241,0.539,130,21.5,5.5,wayne-ellington-1,Role Player
2005,Wayne Simien,Kansas,29,F,11.05,3.1,3.35,27.0,27.5,11.0,7.79,8.95,9.59,79.25,81.0,107.0,255.8,84.0,9.1,36,1.3,16,,big-12,,203.0,0.5579999999999999,346,191,0.503,174,0.816,142,892.0,,84.0,67.0,528,,15,0.04,14,0.28600000000000003,4,18.2,287,0.616,12.3,60.0,332,0.563,187,27.6,5.7,wayne-simien-1,Exclude
