pro_id,cbb_id,name,classification,draft_season,assist_percentage,assists,block_percentage,blocks,conference,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,minutes_played,offensive_rebounds,offensive_win_shares,personal_fouls,points,position,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,win_shares,win_shares_per_40_minutes,num_seasons,lane_agility,three_quarter_sprint,standing_vertical,max_vertical,bench_press,body_fat,height_shoes,standing_reach,weight,wingspan
crawfja01,jamal-crawford-1,Jamal Crawford,Starter,2000,22.589956160124007,76.0,1.235886418289388,16.0,big-ten,117.14436163205677,0.2,0.4760000000000001,255.0,0.412,105.0,0.2,51.0,0.784,40.0,17.0,31.41631854968061,577.0,35.7776455305548,0.7,19.0,283.0,Guard,19.0,michigan,0.396,101.0,0.327,33.0,8.14781036596494,47.0,0.507,16.0,53.0,154.0,0.46799999999999997,72.0,25.395612148162474,0.9000000000000001,0.065,1,11.10957081545064,3.2148510638297862,30.46118143459916,36.434322033898304,0.0,6.339075630252101,76.125,102.5,175.0,82.0
claxtsp01,speedy-claxton-1,Speedy Claxton,Starter,2000,22.589956160124007,177.6804320203304,1.235886418289388,8.389453621346886,america-east,117.14436163205677,3.076747141041932,0.5102966963151208,459.1181702668361,0.4736975857687421,216.9485387547649,0.4153068614993648,181.44218551461242,0.7754008894536213,140.3722998729352,30.69186785260483,31.41631854968061,1052.3322744599743,35.7776455305548,3.399428208386277,58.36658195679797,611.4034307496822,Guard,91.83163913595934,hofstra,0.1929199491740788,98.56480304955528,0.36097141041931385,37.134053367217284,8.14781036596494,156.59911054637863,0.5612325285895807,15.587166454891994,96.37801778907243,360.5533672172808,0.49815120711562894,179.81448538754762,25.395612148162474,6.4761753494282095,0.245366581956798,4,10.48,3.06,36.0,42.5,6.0,6.339075630252101,76.125,94.5,166.0,72.0
harvedo01,donnell-harvey-1,Donnell Harvey,Role Player,2000,8.553282098949808,37.0,7.2313039994327255,31.0,sec,168.82598314787,2.7,0.507,284.0,0.507,144.0,0.4960000000000001,141.0,0.61,86.0,37.0,28.85367794324918,746.0,86.23774558104517,1.3,101.0,374.0,Center,27.0,florida,0.004,1.0,0.0,0.0,16.308122557808527,258.0,0.5329999999999999,14.6,60.0,283.0,0.509,144.0,22.94245091065095,4.0,0.21600000000000005,1,11.23,3.3798181818181816,33.0,32.5,15.0,8.849019607843136,83.25,105.5,220.0,84.5
madsema01,mark-madsen-1,Mark Madsen,Bust,2000,11.063978545470725,21.080449438202244,3.9821950835003563,21.0,pac-10,175.11982605621372,2.8355056179775286,0.5948391011235955,214.04988764044944,0.5948391011235955,127.59775280898876,0.7220053932584269,158.72808988764044,0.5784840449438202,92.00134831460674,27.355056179775282,30.380171299383814,776.507415730337,80.18784587316712,2.366157303370787,62.01662921348315,347.19685393258425,Forward,14.742022471910115,stanford,0.0017420224719101125,0.4355056179775281,0.0,0.0,14.828618847196003,250.14696629213486,0.5979680898876404,12.5,41.40359550561798,213.61438202247191,0.5957101123595505,127.59775280898876,24.46512249213924,5.201662921348316,0.2681289887640449,4,12.12,3.46,30.5,33.5,13.0,7.6698689956331885,80.88356164383562,104.5,236.5,84.5
langhda01,dan-langhi-1,Dan Langhi,Exclude,2000,11.063978545470725,27.106622516556286,3.9821950835003563,8.368211920529799,sec,175.11982605621372,1.0631788079470201,0.5204145695364238,440.6761589403973,0.4583622516556292,203.046357615894,0.409476821192053,179.99801324503312,0.8624708609271524,155.3662251655629,29.684105960264898,30.380171299383814,1008.0443708609273,80.18784587316712,3.668211920529801,54.7364238410596,615.9841059602649,Forward,16.158940397350992,vanderbilt,0.3112635761589404,137.0503311258278,0.3973139072847682,54.525165562913905,14.828618847196003,190.47682119205297,0.5835735099337748,10.058344370860926,58.37019867549668,303.6258278145696,0.4860443708609272,148.52119205298013,24.46512249213924,4.731390728476821,0.18536225165562914,4,10.85,3.24,31.0,34.5,12.0,7.6698689956331885,80.88356164383562,104.0,197.5,80.0
guytoaj01,aj-guyton-1,A.J. Guyton,Exclude,2000,22.589956160124007,75.35705209656925,1.235886418289388,13.367852604828462,big-ten,117.14436163205677,1.1632147395171537,0.5417357052096571,440.68932655654396,0.4575285895806862,201.79288437102923,0.24191804320203306,106.64294790343077,0.7764930114358323,83.0108005082592,30.83926302414231,31.41631854968061,1054.9599745870394,35.7776455305548,2.9896442185514616,32.517789072426936,560.0679796696315,Guard,26.425031766200767,indiana,0.4028176620076239,177.51778907242698,0.41421791613722997,73.47141041931386,8.14781036596494,99.93202033036849,0.5697928843710294,12.862134688691231,72.31067344345617,263.1715374841169,0.4875749682337992,128.32147395171538,25.395612148162474,4.189644218551462,0.15849301143583228,4,10.55,3.22,33.0,37.5,9.0,6.339075630252101,76.125,97.5,175.0,75.75
elamikh01,khalid-el-amin-1,Khalid El-Amin,Exclude,2000,22.589956160124007,169.43005815733088,1.235886418289388,3.0532598714416896,big-east,117.14436163205677,2.263116008570554,0.475737679828589,458.27425772880315,0.4113155800428528,188.37281910009185,0.2675166819712274,121.89348025711662,0.8560238751147843,104.15977961432509,35.31558004285277,31.41631854968061,1090.544536271809,35.7776455305548,2.0422099785736147,75.84022038567494,540.1184573002755,Guard,59.0,connecticut,0.3682662993572085,168.79491888582797,0.35031955922865016,59.21303948576676,8.14781036596494,107.15977961432509,0.5228441995714723,15.404928068564432,93.63116008570556,289.4793388429752,0.4464713804713804,129.15977961432506,25.395612148162474,4.305325987144169,0.1573155800428528,3,10.59,3.32,27.5,32.0,6.0,6.339075630252101,76.125,93.0,200.0,73.5
smithmi03,mike-smith-1,Mike Smith,Exclude,2000,22.589956160124007,81.85452695829095,1.235886418289388,22.485249237029503,southland,117.14436163205677,1.8170905391658188,0.5077426246185148,422.7680569684639,0.42682909460834173,180.39877924720244,0.34483316378433365,144.77212614445577,0.7815106815869787,113.0,27.685656154628692,31.41631854968061,984.5951169888098,35.7776455305548,2.4742624618514752,46.88402848423194,542.5106815869786,Guard,43.88606307222788,louisiana-monroe,0.4982848423194303,210.99796541200408,0.32416887080366225,68.71312309257375,8.14781036596494,239.1668362156664,0.5517426246185148,19.702950152594102,120.6856561546287,211.77009155645985,0.5282889114954221,111.6856561546287,25.395612148162474,4.222787385554424,0.17136927772126145,2,11.32,3.22,33.0,21.0,12.0,6.339075630252101,76.125,103.0,198.0,80.5
houseed01,eddie-house-1,Eddie House,Role Player,2000,22.589956160124007,105.28587830080367,1.235886418289388,2.3174512055109067,pac-10,117.14436163205677,1.8460390355912744,0.4870315729047072,576.6521239954077,0.4251745120551091,244.9052812858783,0.25601607347876004,148.44489092996557,0.8210321469575199,122.39724454649829,31.36509758897819,31.41631854968061,1162.6515499425948,35.7776455305548,2.3365097588978183,72.66647531572904,682.6681974741676,Guard,69.8731343283582,arizona-state,0.3302060849598163,189.5241102181401,0.3726188289322617,70.46039035591275,8.14781036596494,166.1113662456946,0.5278570608495982,10.6650401836969,75.80941446613089,387.12801377726754,0.4509047072330654,174.44489092996557,25.395612148162474,4.182548794489094,0.14438117106773826,4,11.12,3.27,29.5,38.5,5.0,6.339075630252101,76.125,95.0,176.5,75.5
postela01,lavor-postell-1,Lavor Postell,Exclude,2000,11.063978545470725,52.44186046511628,3.9821950835003563,18.27906976744186,big-east,175.11982605621372,1.274418604651163,0.4704883720930232,396.0697674418605,0.4328372093023256,171.30232558139534,0.3273953488372093,129.48837209302326,0.8044651162790698,104.18604651162792,34.2093023255814,30.380171299383814,1108.4418604651162,80.18784587316712,1.6511627906976745,75.67441860465118,476.62790697674416,Forward,30.6046511627907,st-johns-ny,0.226,89.23255813953489,0.3302790697674419,29.837209302325586,14.828618847196003,231.11627906976744,0.5213720930232558,9.841860465116278,49.906976744186046,306.8372093023256,0.4605813953488373,141.46511627906978,24.46512249213924,2.9558139534883723,0.11065116279069767,4,11.79,3.3,33.5,36.5,17.0,7.6698689956331885,80.88356164383562,101.5,205.0,80.5
